college_img,college_name,college_fees,college_loc,college_course,college_rating,CutOff
"https://images.static-collegedunia.com/public/college_data/images/appImage/25698_1464176959DPU-Buillding.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr DY Patil Vidyapeeth - [DPU], Pune","27,50,000","Pune, Maharashtra",MBBS ,8.4,488336
"https://images.static-collegedunia.com/public/college_data/images/appImage/10270_afmccover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Armed Forces Medical College - [AFMC], Pune",31870,"Pune, Maharashtra",MBBS ,9.7,25000
"https://images.static-collegedunia.com/public/college_data/images/appImage/10499_slide-five1421991589.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Grant Medical College and Sir J. J. Group of Hospitals, Mumbai",,"Mumbai, Maharashtra",MBBS ,8.8,"10,092"
"https://images.static-collegedunia.com/public/college_data/images/appImage/10971_SGSMC_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Seth GS Medical College - [GSMC], Mumbai","1,12,615","Mumbai, Maharashtra",MBBS ,8,539
"https://images.static-collegedunia.com/public/college_data/images/appImage/10700_MGIMS_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Mahatma Gandhi Institute of Medical Sciences - [MGIMS], Wardha","4,64,700","Wardha, Maharashtra",MBBS ,8.1,7772
"https://images.static-collegedunia.com/public/college_data/images/appImage/10668_g1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Lokmanya Tilak Municipal Medical College-[LTMMC], Mumbai","1,02,730","Mumbai, Maharashtra",MBBS ,7.2,45075
"https://images.static-collegedunia.com/public/college_data/images/appImage/10289_BJMC_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Byramjee Jeejeebhoy Government Medical College - [BJMC], Pune","1,04,400","Pune, Maharashtra",MBBS ,8.2,60068
"https://images.static-collegedunia.com/public/college_data/images/appImage/10602_KJSMCRC_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","K.J. Somaiya Medical College & Research Centre - [KJSMC], Mumbai","10,25,000","Mumbai, Maharashtra",MBBS ,7.6,201000
"https://images.static-collegedunia.com/public/college_data/images/appImage/10817_1448450666patil_new.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr DY Patil Medical College Hospital and Research Centre - [DYPMC], Pune","25,00,000","Pune, Maharashtra",MBBS ,7.6,388000
"https://images.static-collegedunia.com/public/college_data/images/appImage/_b1.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College and Hospital, Aurangabad","1,07,710","Aurangabad, Maharashtra",MBBS ,8.1,235068
"https://images.static-collegedunia.com/public/college_data/images/appImage/10457_1443685807GMCLATUR_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College, Latur",98830,"Latur, Maharashtra",MBBS ,7.9,10468
"https://images.static-collegedunia.com/public/college_data/images/appImage/10706_Untitled.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","MGM Medical College, Navi Mumbai","20,00,000","Mumbai, Maharashtra",MBBS ,7.2,198595
"https://images.static-collegedunia.com/public/college_data/images/appImage/10394_1448370650dypatil_new.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","D Y Patil Medical College, Kolhapur","20,00,000","Kolhapur, Maharashtra",MBBS ,6.7,393518
"https://images.static-collegedunia.com/public/college_data/images/appImage/25718_1464177439b8xxd0nb9irvkgv8dhgu.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil University, Navi Mumbai","25,75,000","Mumbai, Maharashtra",MBBS ,7.5,200588
"https://images.static-collegedunia.com/public/college_data/images/appImage/10698_acdemic.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Maharashtra Institute of Medical Education and Research - [MIMER], Pune","9,56,025","Pune, Maharashtra",MBBS ,8.1,80155
"https://images.static-collegedunia.com/public/college_data/images/appImage/11024_SKNMCGH_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Smt Kashibai Navale Medical College and General Hospital - [SKNMCGH], Pune","13,40,000","Pune, Maharashtra",MBBS ,7.2,50053
"https://images.static-collegedunia.com/public/college_data/images/appImage/10823_PADMASHREE_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr. Vithalrao Vikhe Patil Foundation's Medical College - [VIMS], Ahmed Nagar","8,15,000","Nagar, Maharashtra",MBBS ,8.3,120455
"https://images.static-collegedunia.com/public/college_data/images/appImage/1595829786EgnColgPic.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Deemed University - [BVDU], Pune","19,07,325","Pune, Maharashtra",MBBS ,7.8,180090
"https://images.static-collegedunia.com/public/college_data/images/appImage/25708_app image1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Krishna Institute of Medical Sciences University - [KIMS], Satara","21,00,000","Satara, Maharashtra",MBBS ,8.1,350455
"https://images.static-collegedunia.com/public/college_data/images/appImage/28314_Front.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Indira Gandhi Government Medical College & Hospital - [IGGMCH], Nagpur",,"Nagpur, Maharashtra",MBBS ,8,5450
"https://images.static-collegedunia.com/public/college_data/images/appImage/10754_NKP_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","NKP SALVE INSTITUTE OF MEDICAL SCIENCES & RC & LATA MANGESHKAR HOSPITAL, Nagpur","9,98,000","Nagpur, Maharashtra",MBBS ,5.9,98099
"https://images.static-collegedunia.com/public/college_data/images/appImage/25690_1447070047DYPEC_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil Education Society - [DYPES], Kolhapur","20,60,000","Kolhapur, Maharashtra",MBBS ,8.6,134030
"https://images.static-collegedunia.com/public/college_data/images/appImage/7677_MEERMM_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Maharashtra Institute of Medical Sciences and Research - [MIMSR], Latur","7,60,000","Latur, Maharashtra",MBBS ,7.8,467056
"https://images.static-collegedunia.com/public/college_data/images/appImage/10205_dfrghh.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","ACPM Medical College, Dhule","6,97,000","Dhule, Maharashtra",MBBS ,8.5,245020
"https://images.static-collegedunia.com/public/college_data/images/appImage/10310_BVPMSANGLI_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Deemed University Medical College and Hospital, Sangli","19,98,150","Sangli, Maharashtra",MBBS ,8.6,384097
"https://images.static-collegedunia.com/public/college_data/images/appImage/10311_b 1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Medical College - [BVMC], Pune","21,28,665","Pune, Maharashtra",MBBS ,8.7,160234
"https://images.static-collegedunia.com/public/college_data/images/appImage/10404_PDMMC_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr Panjabrao Deshmukh Memorial Medical College, Amravati","8,30,000","Amravati, Maharashtra",MBBS ,6.8,323000
"https://images.static-collegedunia.com/public/college_data/images/appImage/10415_DVMGMC_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr Vaishampayan Memorial Government Medical College, Solapur",83900,"Solapur, Maharashtra",MBBS ,8,9063
"https://images.static-collegedunia.com/public/college_data/images/appImage/10458_9b1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College & Hospital, Akola","1,07,900","Akola, Maharashtra",MBBS ,7,335067
"https://images.static-collegedunia.com/public/college_data/images/appImage/10465_GMCN_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College - [GMC], Nagpur","1,00,800","Nagpur, Maharashtra",MBBS ,8.1,3308
"https://images.static-collegedunia.com/public/college_data/images/appImage/10754_NKP_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","NKP SALVE INSTITUTE OF MEDICAL SCIENCES & RC & LATA MANGESHKAR HOSPITAL, Nagpur","9,98,000","Nagpur, Maharashtra",MBBS ,5.9,98099
"https://images.static-collegedunia.com/public/college_data/images/appImage/25690_1447070047DYPEC_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil Education Society - [DYPES], Kolhapur","20,60,000","Kolhapur, Maharashtra",MBBS ,8.6,393518
"https://images.static-collegedunia.com/public/college_data/images/appImage/7677_MEERMM_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Maharashtra Institute of Medical Sciences and Research - [MIMSR], Latur","7,60,000","Latur, Maharashtra",MBBS ,7.8,467056
"https://images.static-collegedunia.com/public/college_data/images/appImage/10205_dfrghh.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","ACPM Medical College, Dhule","6,97,000","Dhule, Maharashtra",MBBS ,8.5,245020
"https://images.static-collegedunia.com/public/college_data/images/appImage/10310_BVPMSANGLI_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Deemed University Medical College and Hospital, Sangli","19,98,150","Sangli, Maharashtra",MBBS ,8.6,384097
"https://images.static-collegedunia.com/public/college_data/images/appImage/10311_b 1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Medical College - [BVMC], Pune","21,28,665","Pune, Maharashtra",MBBS ,8.7,160234
"https://images.static-collegedunia.com/public/college_data/images/appImage/10404_PDMMC_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr Panjabrao Deshmukh Memorial Medical College, Amravati","8,30,000","Amravati, Maharashtra",MBBS ,6.8,323000
"https://images.static-collegedunia.com/public/college_data/images/appImage/10415_DVMGMC_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr Vaishampayan Memorial Government Medical College, Solapur",83900,"Solapur, Maharashtra",MBBS ,8,400500
"https://images.static-collegedunia.com/public/college_data/images/appImage/10458_9b1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College & Hospital, Akola","1,07,900","Akola, Maharashtra",MBBS ,7,335067
"https://images.static-collegedunia.com/public/college_data/images/appImage/10465_GMCN_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College - [GMC], Nagpur","1,00,800","Nagpur, Maharashtra",MBBS ,8.1,215000
"https://images.static-collegedunia.com/public/college_data/images/appImage/11105_TMC_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Terna Medical College, Navi Mumbai","7,13,500","Mumbai, Maharashtra",MBBS ,8.2,115085
"https://images.static-collegedunia.com/public/college_data/images/appImage/1511710699nhtdgg.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Topiwala National Medical College - [TNMC], Mumbai","1,03,300","Mumbai, Maharashtra",MBBS ,8,2311
"https://images.static-collegedunia.com/public/college_data/images/appImage/25691_DMIMSU_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Datta Meghe Institute of Medical Sciences - [DMIMS], Wardha","21,50,000","Wardha, Maharashtra",MBBS ,9.2,457173
"https://images.static-collegedunia.com/public/college_data/images/appImage/25710_Capture.jpg1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Maharashtra University of Health Sciences - [MUHS], Nashik",58200,"Nashik, Maharashtra",MBBS ,8,1614
"https://images.static-collegedunia.com/public/college_data/images/appImage/25712_MGM_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","MGM University of Health Sciences - [MGMUHS], Navi Mumbai","20,00,000","Mumbai, Maharashtra",MBBS ,7.5,160055
"https://images.static-collegedunia.com/public/college_data/images/appImage/25720_PIMS_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Pravara Institute of Medical Sciences University - [PIMS], Ahmed Nagar","14,55,000","Nagar, Maharashtra",MBBS ,8.2,188055
"https://images.static-collegedunia.com/public/college_data/images/appImage/55928_yuhju-001.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Mahatma Gandhi Mission's Medical College, Aurangabad","21,60,500","Aurangabad, Maharashtra",MBBS ,8.4,235068
"https://images.static-collegedunia.com/public/college_data/images/appImage/55929_1443086751DMIMSU_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Jawaharlal Nehru Medical College - [JNMC], Wardha","21,50,000","Wardha, Maharashtra",MBBS ,8.6,98012
"https://images.static-collegedunia.com/public/college_data/images/appImage/56905_about-sbhgmcnew.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shree Bhausaheb Hire Government Medical College &  Hospital - [SBHGMC], Dhule","1,07,700","Dhule, Maharashtra",MBBS ,7.7,345012
"https://images.static-collegedunia.com/public/college_data/images/appImage/57650_88.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Ashwini Rural Medical College - [ARMCH], Solapur","11,38,500","Solapur, Maharashtra",MBBS ,7.5,498034
"https://images.static-collegedunia.com/public/college_data/images/appImage/57655_build.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr. Ulhas Patil Medical College & Hospital - [DUPMC], Jalgaon","6,60,000","Jalgaon, Maharashtra",MBBS ,7,142012
"https://images.static-collegedunia.com/public/college_data/images/appImage/_app imagge.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Rajarshi Chhatrapati Shahu Maharaj Government Medical College & CPR Hospital, Kolhapur",87450,"Kolhapur, Maharashtra",MBBS ,7.7,175012
"https://images.static-collegedunia.com/public/college_data/images/appImage/57664_building.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","BKL Walawalkar Rural Medical College, Ratnagiri","10,25,000","Ratnagiri, Maharashtra",MBBS ,8.9,278912
"https://images.static-collegedunia.com/public/college_data/images/appImage/57668_sdfg.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","HBT Medical College & Dr. R.N. Cooper Municipal General Hospital, Mumbai",89450,"Mumbai, Maharashtra",MBBS ,8.3,3534
"https://images.static-collegedunia.com/public/college_data/images/appImage/57917_1483443164cammmj.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College - [GMC], Miraj",,"Miraj, Maharashtra",MBBS ,7.4,9465
"https://images.static-collegedunia.com/public/college_data/images/appImage/57920_cam.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shri Vasantrao Naik Government Medical College and Hospital - [SVNGMC], Yavatmal","1,09,400","Yavatmal, Maharashtra",MBBS ,6.9,255765
"https://images.static-collegedunia.com/public/college_data/images/appImage/57921_sfcsgdg.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Swami Ramanand Tirth Rural Govt. Medical College, Ambajogai",85800,"Ambajogai, Maharashtra",MBBS ,7.7,412098
"https://images.static-collegedunia.com/public/college_data/images/appImage/57923_fghjbnm.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College - [GMC], Chandrapur","1,10,770","Chandrapur, Maharashtra",MBBS ,9,12155
"https://images.static-collegedunia.com/public/college_data/images/appImage/57937_01.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Government Medical College - [GMC], Gondiya",93100,"Gondiya, Maharashtra",MBBS ,6.4,392155
"https://images.static-collegedunia.com/public/college_data/images/appImage/1507285037AppNew.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Rural Dental College, Ahmed Nagar","14,55,000","Nagar, Maharashtra",MBBS ,8.4,413998
"https://images.static-collegedunia.com/public/college_data/images/appImage/1541400352101507462294632672460851690069422n.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Rajiv Gandhi Medical College - [RGMC], Thane","1,02,880","Thane, Maharashtra",MBBS ,8.8,50668
"https://images.static-collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr.S.C.Govt Medical College - [SCGMC], Nanded",83400,"Nanded, Maharashtra",MBBS ,6.7,83055
"https://images.static-collegedunia.com/public/college_data/images/appImage/1548292433about20us.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","All India Institute of Medical Sciences - [AIIMS], Nagpur",,"Nagpur, Maharashtra",MBBS ,9.1,67334
"https://images.static-collegedunia.com/public/college_data/images/appImage/1585565303lonicover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Pravara Rural Medical College - [PRMC], Loni, Ahmed Nagar","1,45,000","Nagar, Maharashtra",MBBS ,,80055
"https://images.static-collegedunia.com/public/college_data/images/appImage/1600339055untitled1583480787.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Symbiosis Medical College for Women - [SMCW], Pune","1,50,000","Pune, Maharashtra",MBBS ,,112012
