college_img,college_name,college_loc,college_course,college_fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4804/2018/5/2/BVU-College-of-Engineering-Pune-9.jpg,"Bharati Vidyapeeth Deemed University College of Engineering, Pune","Pune, Maharashtra",B.Tech Electronics and Communication Engineering,509 860,29.45,56.02,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3859/2018/8/22/1-Maharashtra-Institute-of-Technology-Pune-(22).jpg,"MIT WPU Faculty of Engineering, Pune","Pune, Maharashtra",B.Tech Electronics and Communication Engineering,12 40 000,91.67,87.7,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2491/2018/7/28/Shri-Ramdeobaba-College-of-Engineering-and-Management-Nagpur7.jpg,"Shri Ramdeobaba College of Engineering and Management, Nagpur","Nagpur, Maharashtra",BE Electronics and Communication Engineering,599 600,98.93,97.01,93.77
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2620/2019/5/28/College,"Vivekanand Education Society's Institute of Technology, Chembur","Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,423 384,93.72,90.51,29.31
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3740/2018/8/20/MKSSSs-Cummins-College-of-Engineering-for-Women-Pune-campus1.jpg,"MKSSS's Cummins College of Engineering for Women, Pune","Pune, Maharashtra",B.Tech Electronics and Telecommunication Engineering II Shift,723 344,0,91.87,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4337/2019/3/4/Campus,"Government College of Engineering and Research, Pune","Awasari Khurd, Maharashtra",B.Tech Electronics and Telecommunication Engineering,96 659,92.01,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1972/2019/7/5/Campus,"Priyadarshini College of Engineering, Nagpur","Nagpur, Maharashtra",BE Electronics and Telecommunication Engineering,,15.79,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4991/2018/10/29/Campus,"Anjuman-I-Islam's Kalsekar Technical Campus, Navi Mumbai","Navi Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,292 213,3.47,46.08,3.47
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3158/2019/3/18/Campus,"Shree LR Tiwari College of Engineering, Thane","Thane, Maharashtra",BE Electronics and Telecommunication Engineering,360 000,3.32,46.07,7.19
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4990/2020/10/30/Campus,MH Saboo Siddik College of Engineering,"Mumbai, Maharashtra",B.Tech Electronics and Telecommunication Engineering,263 972,26.58,73.04,2.02
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5303/2019/3/16/College,"All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,475 004,89.26,86.5,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4566/2018/11/6/Campus-View,"Zeal College of Engineering and Research, Narhe","Pune, Maharashtra  FeesCutoff",B.Tech Electronics and Telecommunication Engineering,,13.02,4.39,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/8791/2019/2/26/Campus,"Pimpri Chinchwad College of Engineering and Research, Pune","Pimpri-Chinchwad, Maharashtra",BE Electronics and Telecommunication Engineering,318 886,97.58,93.45,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4092/2018/9/24/College,"JSPM Narhe Technical Campus, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,328 000,26.82,15.94,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5005/2018/10/29/Campus,"Amrutvahini College of Engineering, Ahmednagar","Sangamner, Maharashtra",BE Electronics and Telecommunication Engineering,416 000,84.79,63.88,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2667/2019/3/8/Campus,"Vidyavardhini's College of Engineering and Technology, Vasai","Vasai, Maharashtra",BE Electronics and Telecommunication Engineering,,49.97,70.46,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4574/2018/10/11/campus,"Dhole Patil College of Engineering, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,432 884,45.71,21.33,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4919/2019/3/4/Campus,"Atharva College of Engineering, Malad","Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,535 296,43.39,75.83,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1990/2018/10/30/Campus,"Mahatma Gandhi Mission's College of Engineering and Technology, Navi Mumbai","Navi Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,273 792,25.74,73.32,2.03
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3480/2018/10/11/Campus,"Modern Education Society's College of Engineering, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,480 000,78.71,70.81,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3797/2018/8/1/Marathwada-Mitra-Mandals-College-of-Engineering-Pune-campus-view1.PNG,"Marathwada Mitra Mandal's College of Engineering, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,394 000,58.87,66.76,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1960/2019/3/14/Campus,"Sipna College of Engineering and Technology, Amravati","Amravati, Maharashtra",BE Electronics and Telecommunication Engineering,,42.84,39.39,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2678/2019/3/26/College,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology, Pune","Baramati, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,252 264,57.92,3.95,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3366/2020/8/26/College,"Rizvi College of Engineering, Bandra","Mumbai, Maharashtra  FeesCutoff",BE Electronics and Telecommunication Engineering,,34.56,83.82,2.02
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3923/2019/3/25/College,"Lokmanya Tilak College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,,1.46,66.05,14.74
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3076/2018/11/9/Campus,"Sinhgad Academy of Engineering, Kondhwa","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,,66.4,79.92,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4595/2018/11/8/Campus,"Deogiri Institute of Engineering and Management Studies, Aurangabad","Aurangabad, Maharashtra",B.Tech Electronics and Telecommunication Engineering,,9.43,40.72,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/7107/2019/3/13/Campus,"CSMSS CHH Shahu College of Engineering, Aurangabad","Aurangabad, Maharashtra",B.Tech Electronics and Telecommunication Engineering,320 000,16.46,22.64,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3485/2019/3/23/College,"Prof Ram Meghe College of Engineering and Management, Badnera","Badnera, Maharashtra",BE Electronics and Telecommunication Engineering,394 000,10.9,15.87,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3172/2018/10/12/College,"Shivajirao S Jondhale College of Engineering, Thane","Dombivli, Maharashtra",BE Electronics and Telecommunication Engineering,344 400,7.22,16,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3257/2018/11/2/College,"Saraswati College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,,3.8,3.24,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3661/2019/4/2/Campus,"Navsahyadri Group of Institutes, Pune","Pune, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,220 000,0,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4484/2018/9/7/College,"Fabtech Technical Campus, Solapur","Solapur, MaharashtraCourses &amp;",B.Tech Electronics and Telecommunications Engineering,289 580,36.51,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2590/2019/3/13/Campus,"Xavier Institute of Engineering, Mumbai","Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,482 395,78.97,90.15,20.39
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3282/2019/3/23/Campus,"Sandip Institute of Engineering and Management, Nashik","Nashik, Maharashtra",BE Electronics and Telecommunication Engineering,,42.49,13.87,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/8786/2019/2/18/Campus,"Universal College of Engineering, Thane","Poman, Maharashtra",BE Electronics and Telecommunication Engineering,384 000,8.3,39.24,22.66
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4992/2018/10/9/Campus,"Anjuman College of Engineering and Technology, Nagpur","Nagpur, Maharashtra",BE Electronics and Telecommunication Engineering,,11.1,0,83.59
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5071/2018/10/16/Campus,"Aditya Engineering College, Beed","Beed, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,,0,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4809/2018/10/31/Campus,"Bharat Ratna Indira Gandhi College of Engineering, Solapur","Kegaon, MaharashtraCourses &amp;",B.Tech Electronics and Telecommunication Engineering,261 840,0,49,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3187/2018/10/13/College,"Sharad Institute of Technology, College of Engineering, Yadrav","Ichalkaranji, Maharashtra",B.Tech Electronics and Telecommunication Engineering,,0.72,5.53,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3559/2018/9/18/Campus,"Rajiv Gandhi College of Engineering, Research and Technology, Chandrapur","Chandrapur, Maharashtra",B.Tech Electronics and Communication Engineering,,0,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4134/2018/9/25/Parking,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal","Yavatmal, Maharashtra",BE Electronics and Telecommunication Engineering,,24.44,44.33,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3782/2019/2/21/Campus,"Matoshri College of Engineering and Research Centre, Nashik","Nashik, Maharashtra",BE Electronics and Telecommunication Engineering,,61.39,48.77,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2015/2018/8/20/Dnyanshree-Institute-of-Engineering-and-Technology-Satara2.png,"Dnyanshree Institute of Engineering and Technology, Satara","Gajawadi, Maharashtra",BE Electronics and Telecommunication Engineering,61 000,6.78,42,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4384/2019/3/28/Campus,"Godavari College of Engineering, Jalgaon","Jalgaon, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,,0,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2857/2019/3/26/Campus-View,"College of Engineering, Pandharpur","Kondharki, Maharashtra  Fees",BE Electronics and Telecommunication Engineering,360 000,99.86,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4161/2018/10/24/Campus,"Jagadambha College of Engineering and Technology, Yavatmal","Yavatmal, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,363 631,61.14,22.65,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3616/2019/2/20/Campus,"Nutan Maharashtra Institute of Engineering and Technology, Pune","Talegaon Dabhade, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,391 740,34.1,25.69,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5034/2020/8/7/Campus,"Alard College of Engineering and Management, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,,0,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2619/2018/11/5/campus,"Jawahar Education Society's AC Patil College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Electronics and Telecommunication Engineering,396 972,5.01,16,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3576/2019/3/25/College,"Padmabhushan Vasantdada Patil Pratishthan's College of Engineering, Mumbai","Mumbai, Maharashtra  FeesCutoff",BE Electronics and Telecommunication Engineering,,22.44,26.69,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3975/2019/4/3/Campus,"Konkan Gyanpeeth College of Engineering, Karjat","Raigad, Maharashtra",B.Tech Electronics and Telecommunications Engineering,,4.4,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4151/2020/8/18/College,"Jaihind College of Engineering, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,,2.1,49.1,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4910/2019/3/4/Medical,"Aurangabad College of Engineering, Aurangabad","Aurangabad, Maharashtra",BE Electronics and Telecommunication Engineering,144 000,77.24,90.98,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3775/2019/2/28/Consumer,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon","Sawarna, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,,55.98,15.48,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1994/2019/3/12/Laboratory,"Keystone School of Engineering, Pune","Pune, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,,32.87,7.03,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4142/2019/4/4/Jamia,"Jamia Institute of Engineering and Management Studies, Nandurbar","Mandaviamba, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,,51.23,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3752/2019/3/5/Campus-view,"MET Institute of Engineering, Nashik","Nashik, Maharashtra",BE Electronics and Telecommunication Engineering,,21.43,41.72,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4415/2020/8/19/Campus,"Genba Sopanrao Moze College of Engineering, Balewadi","Pune, Maharashtra",B.Tech Electronics and Telecommunication Engineering,280 000,28.32,14.36,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4608/2018/10/30/Reading,"Dattakala Group of Institution, Pune","Pune, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,,3.21,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2688/2019/3/26/Campus,"Vidarbha Institute of Technology, Nagpur","Uti, Maharashtra",BE Electronics and Communication Engineering,,75.65,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2596/2018/8/21/WIEECT-Mumbai-CAMPUS.jpeg,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, Mumbai","Mumbai, Maharashtra  FeesCutoff",BE Electronics and Telecommunication Engineering,487 664,3.99,56.46,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4042/2020/11/9/Campus-View,"Late GN Sapkal College of Engineering, Nashik","Nashik, Maharashtra",BE Electronics and Telecommunication Engineering,286 208,9.21,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3068/2018/10/31/Campus,"Sir Visvesvaraya Institute of Technology, Nashik","Chincholi, Maharashtra",BE Electronics and Telecommunication Engineering,361 468,21.77,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/7111/2018/7/31/Pune-Campus-View.jpg,"Pune Vidhyarthi Griha's College of Engineering, Nashik","Nashik, MaharashtraCourses &amp;",B.Tech Electronics and Telecommunication Engineering,265 235,98.64,97.21,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4842/2020/8/4/Campus,"Bapurao Deshmukh College of Engineering, Wardha","Wardha, Maharashtra",BE Electronics and Telecommunication Engineering II Shift,,3.47,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5066/2018/10/31/Campus,"Adsul's Technical Campus, Ahmednagar","Chas, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,268 000,3.78,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3050/2019/3/22/College,"SNJB's Late Sau Kantabai Bhavarlalji Jain College of Engineering, Nashik","Nashik, Maharashtra",BE Electronics and Telecommunication Engineering,356 000,17.7,0,81.1
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2583/2019/3/18/College,"Yashoda Technical Campus, Satara","Satara, Maharashtra",B.Tech Electronics and Telecommunication Engineering,268 000,10.01,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/7109/2020/8/20/Campus,"Ideal Institute of Technology, Wada","Posheri, Maharashtra",BE Electronics and Telecommunication Engineering,,5.42,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2645/2018/10/30/Campus,"Vilasrao Deshmukh Foundation Group of Institutions- School of Engineering and Technology, Latur","Harangul Bk., Maharashtra",BE Electronics and Telecommunication Engineering,232 804,3.89,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/7110/2018/9/12/Events,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology, Khalapur","Kumbhivali, Maharashtra",B.Tech Electronics and Telecommunication Engineering,273 000,3.75,18.53,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3408/2018/9/20/Campus,"Rajendra Mane College of Engineering and Technology, Ratnagiri","Ambav, Maharashtra",BE Electronics and Telecommunication Engineering,362 280,3.96,44.83,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3302/2019/3/23/Transport,"Sahyadri Valley College of Engineering and Technology, Pune","Pune, MaharashtraCourses &amp;",BE Electronics and Telecommunication Engineering,,3.25,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2631/2018/5/24/Vishwakarma-Institute-of-Technology-Pune1.jpg,VIT Pune - Vishwakarma Institute of Technology,"Pune, Maharashtra",B.Tech Electronics and Telecommunication Engineering II Shift,739 740,78.54,48.44,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/144/2018/4/5/VNIT-Nagpur-11.jpg,VNIT Nagpur - Visvesvaraya National Institute of Technology,"Nagpur, Maharashtra",B.Tech Electronics and Communication Engineering,538 300,58.23,21.33,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2006/2018/9/24/Campis,"DY Patil College of Engineering, Pune","Pimpri-Chinchwad, Maharashtra",BE Electronics and Telecommunication Engineering,493 168,51.78,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4082/2020/11/7/College,"KK Wagh Institute of Engineering Education and Research, Nashik","Nashik, Maharashtra",BE Electronics and Telecommunication Engineering,316 000,23.54,13.87,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3132/2019/4/5/Campus,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Vishnupuri","Vishnupuri, Maharashtra",B.Tech Electronics and Telecommunication Engineering,336 918,45.71,36.21,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1352/2019/7/3/Campus,"Amity University, Mumbai","Navi Mumbai, Maharashtra",B.Tech Electronics and Communication Engineering,888 000,43.45,43.1,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/17608/2020/12/22/Campus,"MIT School of Engineering, Pune","Pune, Maharashtra ReviewAdmissionsCourses &amp;",B.Tech Electronics and Communication Engineering,871 300,42.49,25.69,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3991/2018/11/9/College,"KIT's College of Engineering, Kolhapur","Gokul Shirgaon, Maharashtra",B.Tech Electronics and Telecommunication Engineering,441 320,41.06,7.03,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/17619/2018/12/3/Campus,"Government College of Engineering, Nagpur","Khapri, Maharashtra  FeesCutoff",BE Electronics and Telecommunication Engineering,,40.43,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2599/2018/7/31/Walchand-Institute-of-Technology-Solapur-CV1.jpg,WIT Solapur - Walchand Institute of Technology,"Solapur, Maharashtra",B.Tech Electronics and Communication Engineering,422 028,34.1,12.74,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2014/2018/9/25/College,"Don Bosco Institute of Technology, Mumbai","Mumbai, Maharashtra  Fees",BE Electronics and Telecommunication Engineering,503 824,32.87,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1631/2017/1/31/Indian-Institute-of-Information-Technology-Pune.jpg,IIIT Pune - Indian Institute of Information Technology,"Pune, Maharashtra",B.Tech Electronics and Communication Engineering,802 000,31.26,14.36,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4117/2020/8/20/Campus,"Imperial College of Engineering and Research, Pune","Pune, Maharashtra",BE Electronics and Telecommunication Engineering,425 000,29.45,7.7,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2549/2018/10/3/College,"PE Society's Modern College of Engineering, Pune","Pune, Maharashtra",B.Tech Electronics and Telecommunication Engineering,415 540,28.81,15.94,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4366/2018/10/1/Campus,"Government College of Engineering, Jalgaon","Jalgaon, Maharashtra",B.Tech Electronics and Telecommunication Engineering,331 784,28.32,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4981/2018/11/3/Campus,"Annasaheb Dange College of Engineering and Technology, Sangli","Ashta, Maharashtra",BE Electronics and Telecommunication Engineering,404 000,27.83,12.01,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3456/2018/9/27/Campus,"RC Patel Institute of Technology, Shirpur","Shirpur, Maharashtra",BE Electronics and Telecommunication Engineering,,26.82,41.72,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/7558/2019/1/18/Campus,"Narsee Monjee Institute of Management Studies, Shirpur","Savalade, Maharashtra",B.Tech Electronics and Telecommunication Engineering,600 000,23.37,12.74,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4181/2020/9/2/Campus,"International Institute of Information Technology, Pune","Pimpri-Chinchwad, Maharashtra",BE Electronics and Telecommunication Engineering,448 000,22.54,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2736/2018/10/27/campus,"Usha Mittal Institute of Technology, Mumbai","Mumbai, Maharashtra",B.Tech Electronics and Communication Engineering,465 180,21.43,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3533/2020/9/4/Campu-View,"Pillai College of Engineering, New Panvel","Panvel, Maharashtra  FeesCutoff",BE Electronics and Telecommunication Engineering,503 020,20.06,4.47,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2540/2018/10/29/Campus,"SIES Graduate School of Technology, Navi Mumbai","Navi Mumbai, Maharashtra",B.Tech Electronics and Computer Science,,18.88,0.01,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1984/2018/9/24/Front,"MGM's College of Engineering, Nanded","Nanded, Maharashtra",B.Tech Electronics and Telecommunication Engineering,413 400,17.7,15.54,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/7682/2020/8/17/Campus,"National Institute of Electronics and Information Technology, Aurangabad","Aurangabad, Maharashtra",B.Tech Electronics System Engineering,,17.43,42.35,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1958/2018/10/8/Campus,"St John College of Engineering and Management, Palghar","Palghar, Maharashtra",BE Electronics and Telecommunication Engineering,385 616,17.11,0,0
